V,V-ED,V-EN,Traduction
spit,spat,spat,cracher
split,split,split,fendre
spoil,spoilt,spoilt,gâcher, gâter
spread,spread,spread,répandre
spring,sprang,sprung,jaillir, bondir
stand,stood,stood,être debout
steal,stole,stolen,voler, dérober
stick,stuck,stuck,coller
sting,stung,stung,piquer
stink,stank,stunk,puer
stride,strode,stridden,marcher à grands pas
strike,struck,struck,frapper
string,strung,strung,enfiler, tendre (une corde)
strive,strove,striven,s'efforcer
swear,swore,sworn,jurer
sweep,swept,swept,balayer
swell,swelled,swollen,enfler
swim,swam,swum,nager
swing,swung,swung,se balancer
take,took,taken,prendre
teach,taught,taught,enseigner
tear,tore,torn,déchirer
tell,told,told,dire, raconter
think,thought,thought,penser
throw,threw,thrown,jeter
thrust,thrust,thrust,enfoncer
tread,trod,trodden,fouler aux pieds
undergo,underwent,undergone,subir
understand,understood,understood,comprendre
upset,upset,upset,bouleverser
wake,woke,woken,(se) réveiller
wear,wore,worn,porter (des vêtements)
weave,wove,woven,tisser
weep,wept,wept,pleurer
win,won,won,gagner
wind,wound,wound,enrouler
withdraw,withdrew,withdrawn,(se) retirer
wring,wrung,wrung,tordre
write,wrote,written,écrire


