nom;svg;smile du réactif;react;produit1;produit2;produit3;produit4;produits faux 1;produit faux 2;feedback1;produit faux3;produit faux 4;feedback 2
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""1) BH3, 2) H2O2,OH-""";CC(C)[C@@H](C)[C@@H](C)O;CC(C)[C@H](C)[C@H](C)O;;;CC(C)[C@@H](C)[C@H](C)O;CC(C)[C@H](C)[C@@H](C)O;attention stéréosélectivité:  réaction SYN;CC[C@@H](O)C(C)C;CC[C@H](O)C(C)C;attention régiosélectivité: OH sur le C le moins encombré
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""HBr, ROOR, solvant apolaire""";CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;attention régiosélectrivité anti-Markovnikov, effet Kharash;;;
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""HBr, solvant polaire""";CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;;;CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;attention régiosélectivité Markovnikov;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;attention régiosélectivité Markovnikov
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""H2O, H2SO4""";CC[C@@H](O)C(C)C;CC[C@H](O)C(C)C;;;CC(C)[C@@H](C)[C@@H](C)O;CC(C)[C@H](C)[C@H](C)O;attention régiosélectivité Markovnikov;;;
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""H2, Pt""";CC[C@H](C)C(C)C;CC[C@@H](C)C(C)C;;;;;;;;
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""Br2""";CC(C)[C@](C)(Br)[C@H](C)Br;CC(C)[C@@](C)(Br)[C@@H](C)Br;;;CC(C)[C@](C)(Br)[C@@H](C)Br;CC(C)[C@@](C)(Br)[C@H](C)Br;attention stéréosélectivité : réaction ANTI;;;
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""KMnO4, dilué, froid""";CC(C)[C@@](C)(O)[C@H](C)O;CC(C)[C@](C)(O)[C@@H](C)O;;;CC(C)[C@@](C)(O)[C@@H](C)O;CC(C)[C@](C)(O)[C@H](C)O;attention stéréosélectivité : réaction SYN;;;
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""1)O3, 2) H2O milieu oxydant";CC(=O)C(C)C;CC(=O)O;;;CC=O;;attention milieu oxydant (oxydation jusqu'au bout);;;
(Z)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)\C(C)C;"""1)O3, 2) H2O Zn";CC(=O)C(C)C;CC=O;;;CC(=O)O;;attention milieu réducteur (Zn) (oxydation s'arrète);;;
(E)-3,4-diméthylpent-2-ene;"<svg width=""138"" height=""117"" viewbox=""0 5 138 117"" xmlns=""http://www.w3.org/2000/svg""> <style type=""text/css""><![CDATA[ circle { stroke: #FFFFFF; fill: #FFFFFF; } text { font-family: Helvetica; font-size: 14px; } line { stroke: #000000; stroke-width: 1.0; } ]]> </style> <g> <g transform=""translate(0,-202)""> <path stroke=""#000000"" stroke-width=""1.0"" d="" M 51.3 268.6 L 32.4 281.1 M 48.4 246.1 L 66.5 232.4 M 48.4 246.1 L 27.6 237.3 M 51.3 268.6 L 48.4 246.1 M 70.9 279.9 L 92.5 273.1 M 54.5 266.0 L 71.5 275.9 M 51.3 268.6 L 70.9 279.9 "" /> <circle cx=""32.0"" cy=""281.0"" r=""6.3"" /> <circle cx=""67.0"" cy=""232.0"" r=""6.3"" /> <circle cx=""28.0"" cy=""237.0"" r=""6.3"" /> <circle cx=""92.0"" cy=""273.0"" r=""6.3"" /> <text x=""87.6"" y=""278.7""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""22.7"" y=""242.9""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""22.7"" y=""242.9""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> <text x=""61.6"" y=""238.0""><tspan>C</tspan><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan> </text> <text x=""27.5"" y=""286.7""><tspan>C</tspan> </text> <text text-anchor=""end"" x=""27.5"" y=""286.7""><tspan>H</tspan><tspan font-size=""9"" dy=""4.5"">3</tspan></text> </g> </g> </svg> <!-- found XY values for adjusting width, height and viewbox: --> <!-- max_X:  138  --> <!-- max_Y:  325  --> <!-- min_Y:  207  --> <!-- yshift: -202  -->";C/C=C(C)/C(C)C;"""HBr, solvant polaire""";CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;;;CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;attention régiosélectivité Markovnikov;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;attention régiosélectivité Markovnikov
