nom,dates,image
Thalès, 625 av. J.-C. - vers 545 av. J.-C.,https://commons.wikimedia.org/wiki/File:Illustrerad_Verldshistoria_band_I_Ill_107.jpg
Pythagore, 580 av. J.-C. - 495 av. J.-C., https://commons.wikimedia.org/wiki/File:Pythagore_Villa_Borghese.jpg
Euclide, vers 300 av. J.-C.
Archimède, 287 av. J.-C. – 212 av. J.-C.
Brahamgupta, 598-670,https://commons.wikimedia.org/wiki/File:Hindu_astronomer,_19th-century_illustration.jpg
Al-Khwârizmî, vers 780 - vers 850,https://commons.wikimedia.org/wiki/File:Mu%E1%B8%A5ammad_ibn_M%C5%ABs%C4%81_al-Khw%C4%81rizm%C4%AB.png
François Viète, 1540-1603,https://commons.wikimedia.org/wiki/File:Francois_Viete.jpeg
Galilée, 1564-1642,https://commons.wikimedia.org/wiki/File:Justus_Sustermans_-_Portrait_of_Galileo_Galilei,_1636.jpg
René Descartes, 1596-1650,https://commons.wikimedia.org/wiki/File:Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg
Pierre de Fermat, 1607-1665,https://commons.wikimedia.org/wiki/File:Pierre_de_Fermat.jpg 
Blaise Pascal, 1623-1662,https://commons.wikimedia.org/wiki/File:Blaise_pascal.jpg
Isaac Newton, 1642-1727,https://commons.wikimedia.org/wiki/File:GodfreyKneller-IsaacNewton-1689.jpg
Gittfried Wilhelm Leibnitz, 1646-1716,https://commons.wikimedia.org/wiki/File:Gottfried_Wilhelm_von_Leibniz.jpg
Jacques Bernoulli, 1655-1705,https://commons.wikimedia.org/wiki/File:Jakob_Bernoulli.jpg
Jean Bernoulli, 1667-1748, https://fr.wikipedia.org/wiki/Jean_Bernoulli
Leonhard Euler, 1707-1783,https://commons.wikimedia.org/wiki/File:Leonhard_Euler_2.jpg
Pierre-Simon de Laplace, 1749-1827,https://commons.wikimedia.org/wiki/File:Pierre-Simon,_marquis_de_Laplace_(1745-1827)_-_Gu%C3%A9rin.jpg
Joseph Fourier, 1768-1830,https://commons.wikimedia.org/wiki/File:Fourier2.jpg
Carl Friedrich Gauss, 1777-1855,https://commons.wikimedia.org/wiki/File:Carl_Friedrich_Gauss.jpg
Augustin-Louis Cauchy, 1789-1857,https://commons.wikimedia.org/wiki/File:Augustin-Louis_Cauchy_1901.jpg
Niels Henrik Abel, 1802-1829,https://commons.wikimedia.org/wiki/File:Niels_Henrik_Abel_(detail).jpeg
Evariste Gallois, 1811-1832,https://commons.wikimedia.org/wiki/File:Evariste_galois.jpg
Karl Weierstrass, 1815-1897,https://commons.wikimedia.org/wiki/File:Karl_Weierstrass_2.jpg
Bernhard Riemann, 1826-1866,https://commons.wikimedia.org/wiki/File:Georg_Friedrich_Bernhard_Riemann.jpeg
Richard Dedekind, 1831-1916,https://commons.wikimedia.org/wiki/File:Richard_Dedekind_1900s.jpg
Georg Cantor, 1845-1918,https://commons.wikimedia.org/wiki/File:Georg_Cantor2.jpg
Henri Poincaré, 1854-1912,https://commons.wikimedia.org/wiki/File:Poincare.jpg
Giuseppe Peano, 1858-1932,https://commons.wikimedia.org/wiki/File:Giuseppe_Peano.jpg
David Hilbert, 1862-1943,https://commons.wikimedia.org/wiki/File:David_Hilbert_1886.jpg
Bertrand Russel, 1872-1970,https://commons.wikimedia.org/wiki/File:Bertrand_Russell_transparent_bg.png
Emmy Noether, 1882-1935,https://commons.wikimedia.org/wiki/File:Emmy-noether-2.jpg
Srinivasa Ramanujan, 1887-1920,https://commons.wikimedia.org/wiki/File:Srinivasa_Ramanujan_-_OPC_-_2.jpg
John von Neumann, 1903-1957,https://commons.wikimedia.org/wiki/File:John_von_Neumann.jpg
Henri Cartan, 1904-2008,
Alan Turing, 1912-1954, https://commons.wikimedia.org/wiki/File:Alan_Turing_Age_16_Colorized.jpg
Alexandre Grothendieck, 1928-2014, 










