country,article,capital,population
France,la,Paris,67372000
Allemagne,l,Berlin,82887000
Belgique,la,Bruxelles,11449656
Hongrie,la,Budapest,9771000
Pays-Bas,les,Amsterdam,17305660
Portugal,le,Lisbonne,10291027
Slovaquie,la,Bratislava,5445087
Espagne,l,Madrid,46733038
Irlande,l,Dublin,4857000
Danemark,le,Copenhague,5806015
Norvège,la,Oslo,5323933
Suède,la,Stockholm,10215250
Grèce,la,Athènes,10768193
Autriche,l,Vienne,0
Italie,l,Rome,0
Roumanie,la,Bucarest,0
Finlande,la,Helsinki,0
Royaume-Uni,le,Londres,0
Pologne,la,Varsovie,0
Suisse,la,Berne,0
