capital;drapeau;etat
Abou Dabi;Drapeau des Émirats arabes unis;Émirats arabes unis
Abuja;Drapeau du Nigeria;Nigeria
Accra;Drapeau du Ghana;Ghana
Achgabat;Drapeau du Turkménistan;Turkménistan
Addis-Abeba;Drapeau de l'Éthiopie;Éthiopie
Alger;Drapeau de l'Algérie;Algérie
Alofi;Drapeau de Niue;Niue
Amman;Drapeau de la Jordanie;Jordanie
Amsterdam;Drapeau des Pays-Bas;Pays-Bas
Andorre-la-Vieille;Drapeau d'Andorre;Andorre
Ankara;Drapeau de la Turquie;Turquie
Antananarivo;Drapeau de Madagascar;Madagascar
Apia;Drapeau des Samoa;Samoa
Asmara;Drapeau de l'Érythrée;Érythrée
Asuncion;Drapeau du Paraguay;Paraguay
Athènes;Drapeau de la Grèce;Grèce
Avarua;Drapeau des Îles Cook;Îles Cook
Bagdad;Drapeau de l'Irak;Irak
Bakou;Drapeau de l'Azerbaïdjan;Azerbaïdjan
Bamako;Drapeau du Mali;Mali
Bandar Seri Begawan;Drapeau du Brunei;Brunei
Bangkok;Drapeau de la Thaïlande;Thaïlande
Bangui;Drapeau de la République centrafricaine;République centrafricaine
Banjul;Drapeau de la Gambie;Gambie
Basseterre;Drapeau de Saint-Christophe-et-Niévès;Saint-Christophe-et-Niévès
Belgrade;Drapeau de la Serbie;Serbie
Belmopan;Drapeau du Belize;Belize
Berlin;Drapeau de l'Allemagne;Allemagne
Berne (capitale de facto)3;Drapeau de la Suisse;Suisse
Beyrouth;Drapeau du Liban;Liban
Bichkek;Drapeau du Kirghizistan;Kirghizistan
Bissau;Drapeau de la Guinée-Bissau;Guinée-Bissau
Bloemfontein (capitale judiciaire)4;Drapeau d'Afrique du Sud;Afrique du Sud
Bogota;Drapeau de la Colombie;Colombie
Brasilia;Drapeau du Brésil;Brésil
Bratislava;Drapeau de la Slovaquie;Slovaquie
Brazzaville;Drapeau de la république du Congo;République du Congo
Bridgetown;Drapeau de la Barbade;Barbade
Bruxelles;Drapeau de la Belgique;Belgique
Bucarest;Drapeau de la Roumanie;Roumanie
Budapest;Drapeau de la Hongrie;Hongrie
Buenos Aires;Drapeau de l'Argentine;Argentine
Bujumbura;Drapeau du Burundi;Burundi
Le Caire;Drapeau de l'Égypte;Égypte
Canberra;Drapeau de l'Australie;Australie
Le Cap (capitale législative)4;Drapeau d'Afrique du Sud;Afrique du Sud
Caracas;Drapeau du Venezuela;Venezuela
Castries;Drapeau de Sainte-Lucie;Sainte-Lucie
Chisinau;Drapeau de la Moldavie;Moldavie
Sri Jayawardenapura Kotte (administrative et législative)5;Drapeau du Sri Lanka;Sri Lanka
Conakry;Drapeau de la Guinée;Guinée
Copenhague;Drapeau du Danemark;Danemark
Dakar;Drapeau du Sénégal;Sénégal
Damas;Drapeau de la Syrie;Syrie
Delap-Uliga-Darrit (Majuro)6;Drapeau des Îles Marshall;Îles Marshall
Dacca;Drapeau du Bangladesh;Bangladesh
Dili;Drapeau du Timor oriental;Timor oriental
Djibouti;Drapeau de Djibouti;Djibouti
Djoubanote 1;Drapeau du Soudan du Sud;Soudan du Sud
Dodoma;Drapeau de la Tanzanie;Tanzanie
Doha;Drapeau du Qatar;Qatar
Douchanbé;Drapeau du Tadjikistan;Tadjikistan
Dublin;Drapeau de l'Irlande;Irlande
Erevan;Drapeau de l'Arménie;Arménie
Freetown;Drapeau de Sierra Leone;Sierra Leone
Funafuti (Vaiaku)7;Drapeau des Tuvalu;Tuvalu
Gaborone;Drapeau du Botswana;Botswana
Georgetown;Drapeau du Guyana;Guyana
Gitega(capitale politique);Drapeau du Burundi;Burundi
Guatemala;Drapeau du Guatemala;Guatemala
Hanoï;Drapeau de la République socialiste du Viêt;Nam Viêt Nam
Harare;Drapeau du Zimbabwe;Zimbabwe
La Havane;Drapeau de Cuba;Cuba
Helsinki;Drapeau de la Finlande;Finlande
Honiara;Drapeau des Salomon;Salomon
Islamabad;Drapeau du Pakistan;Pakistan
Jakarta;Drapeau de l'Indonésie;Indonésie
Jérusalem (décision condamnée par la Résolution 478)note 2;Drapeau d’Israël;Israël
Jérusalem-Est (capitale proclamée)note 3;Drapeau de la Palestine;Palestine
Kaboul;Drapeau de l'Afghanistan;Afghanistan
Kampala;Drapeau de l'Ouganda;Ouganda
Katmandou;Drapeau du Népal;Népal
Khartoum;Drapeau du Soudan;Soudan
Kiev;Drapeau de l'Ukraine;Ukraine
Kigali;Drapeau du Rwanda;Rwanda
Kingston;Drapeau de la Jamaïque;Jamaïque
Kingstown;Drapeau de Saint-Vincent-et-les-Grenadines;Saint-Vincent-et-les-Grenadines
Kinshasa;Drapeau de la république démocratique du Congo;République démocratique du Congo
Melekeok24;Drapeau des Palaos;Palaos
Koweït;Drapeau du Koweït;Koweït
Kuala Lumpur25;Drapeau de la Malaisie;Malaisie
Libreville;Drapeau du Gabon;Gabon
Lilongwe;Drapeau du Malawi;Malawi
Lima;Drapeau du Pérou;Pérou
Lisbonne;Drapeau du Portugal;Portugal
Ljubljana;Drapeau de la Slovénie;Slovénie
Lomé;Drapeau du Togo;Togo
Londres;Drapeau : Royaume-Uni;Royaume-Uni
Luanda;Drapeau de l'Angola;Angola
Lusaka;Drapeau de la Zambie;Zambie
Luxembourg;Drapeau du Luxembourg;Luxembourg
Madrid;Drapeau de l'Espagne;Espagne
Malabo;Drapeau de la Guinée équatoriale;Guinée équatoriale
Malé;Drapeau des Maldives;Maldives
Managua;Drapeau du Nicaragua;Nicaragua
Manama;Drapeau de Bahreïn;Bahreïn
Manille;Drapeau des Philippines;Philippines
Maputo;Drapeau du Mozambique;Mozambique
Mascate;Drapeau d'Oman;Oman
Maseru;Drapeau du Lesotho;Lesotho
Mbabane;Drapeau de l'Eswatini;Eswatini
Mexico;Drapeau du Mexique;Mexique
Minsk;Drapeau de la Biélorussie;Biélorussie
Mogadiscio (Muqdisho26);Drapeau de la Somalie;Somalie
Monaco;Drapeau de Monaco;Monaco
